firearm_type,price,link,stock_status
"CVA - Wolf 209Magnum Blued/Black 24"" 50 Cal",$156.95,https://gricewholesale.com/cvapr2110-cva-wolf-209magnum-50cal-blue-black.html,OUT OF STOCK
"Charter Arms - Pathfinder Stainless 8rd 2"" 22 LR",$295.95,https://gricewholesale.com/cha72224-charter-arms-pathfinder-22lr-2.html,OUT OF STOCK
CVA - PowerBelt 50Cal 245gr HP 15pk,$13.50,https://gricewholesale.com/cvaac1589-cva-powerbelt-50cal-245gr-hp-20pk.html,ADD TO CART
Hodgdon - Select (Rifle & Shotgun) 1 lb,$27.35,https://gricewholesale.com/hodselect-hodgdon-select-1.html,ADD TO CART
Hornady 36Cal (.350) Round Ball,$7.25,https://gricewholesale.com/hrn6010-hornady-36cal-350-round-ball.html,ADD TO CART
Hornady 54Cal (.530) Round Ball,$12.95,https://gricewholesale.com/hrn6100-hornady-54cal-530-round-ball.html,ADD TO CART
Hornady 50Cal 240gr PA Conical,$13.35,https://gricewholesale.com/hrn6617-hornady-50cal-240gr-pa-conical.html,ADD TO CART
"Heritage - Rough Rider 6rd 6.5"" 22 LR / 22 Mag",$144.95,https://gricewholesale.com/htg50031-heritage-22lr-mag-blue-6-5-fs.html,ADD TO CART
"Kimber - 1911 Custom II Two-Tone 7rd 5"" 45 ACP",$776.95,https://gricewholesale.com/kimber-custom-ii-two-tone-45acp.html,ADD TO CART
"Mossberg - International 715T Flat Top 25rd 16.25"" 22 LR",$280.95,https://gricewholesale.com/mos37209-mos-715t-flat-top-w-s-22lr-16-adj-stk-25rd.html,ADD TO CART
"Remington - 700 CDL 24"" 30-06 Sprg",$847.95,https://gricewholesale.com/rgu7017-rem-700-cdl-30-06-24.html,OUT OF STOCK
"Remington - 700 SPS 24"" 30-06 Sprg",$599.95,https://gricewholesale.com/rgu7363-rem-700-sps-30-06-spr-24.html,ADD TO CART
"Remington - 700 SPS 24"" 308 Win",$599.95,https://gricewholesale.com/rgu7359-rem-700-sps-308-win-24.html,ADD TO CART
"Remington - 700 SPS Tactical Threaded 16.5"" 308 Win",$693.95,https://gricewholesale.com/rgu85538-rem-700-sps-tactical-16-5-308.html,ADD TO CART
RMC - Ox-Yoke Patches 45-58 caliber (2.5inch),$4.25,https://gricewholesale.com/rmcml1013-rmc-ox-yoke-patches-45-58cal-2-5.html,ADD TO CART
RMC - Folding T-Handle,$8.50,https://gricewholesale.com/rmcml1073-rmc-folding-t-handle.html,ADD TO CART
RMC - Mag EC View Speed Shells (45 caliber),$7.50,https://gricewholesale.com/rmcml22845-rmc-mag-ec-view-speed-shells-45cal.html,ADD TO CART
RMC - Bronze Bore Brush (45 caliber),$2.15,https://gricewholesale.com/rmcml25645-rmc-bronze-bore-brush-45cal.html,ADD TO CART
RMC - Bronze Bore Brush (50 caliber),$2.15,https://gricewholesale.com/rmcml25650-rmc-bronze-bore-brush-50cal.html,ADD TO CART
"Ruger - SR22 10rd 3.5"" 22 LR",$421.95,https://gricewholesale.com/rug3607-ruger-sr22ps-22lr-3-5.html,ADD TO CART
"Ruger - American Predator Threaded 22"" 22-250 Rem",$437.95,https://gricewholesale.com/rug6945-ruger-american-predator-22-250-22.html,ADD TO CART
"Ruger - American Threaded Barrel 18"" 17 HMR",$349.95,https://gricewholesale.com/rug8312-ruger-american-17hmr-9rd-tb.html,OUT OF STOCK
"Savage - Stevens 555 Over/Under 26"" 20ga",$567.95,https://gricewholesale.com/sav22166-savage-stevens-555-o-u-20-26.html,ADD TO CART
